date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:49	49159/49159	---M--	200	added ('OK')	text/html	etag:%22c007-5af8b3efe7760%22	http://innovationplans.com/idesign/avo2/avo-dark/index.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/index.html	(from )
23:15:49	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2012%20Jul%202021%2017:42:38%20GMT	http://innovationplans.com/robots.txt		(from )
23:15:50	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2213e-5af8b41509bd1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/favicon.ico	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/favicon.ico	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:51	1194/1194	---M--	200	added ('OK')	text/css	etag:%224aa-5b0390ed42c2f%22	http://innovationplans.com/idesign/avo2/avo-dark/css/plugins.css	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/css/plugins.css	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:52	130506/130506	---M--	200	added ('OK')	text/css	etag:%221fdca-5b0390edc03eb%22	http://innovationplans.com/idesign/avo2/avo-dark/css/style.css	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/css/style.css	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:53	1031/1031	---M--	200	added ('OK')	image/png	etag:%22407-5af8b41630ea1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/logo-light.png	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/logo-light.png	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:54	37144/37144	---M--	200	added ('OK')	text/html	etag:%229118-5af8b3f052e6c%22	http://innovationplans.com/idesign/avo2/avo-dark/index2.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/index2.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:56	36738/36738	---M--	200	added ('OK')	text/html	etag:%228f82-5af8b3f0c2b44%22	http://innovationplans.com/idesign/avo2/avo-dark/index3.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/index3.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:56	43704/43704	---M--	200	added ('OK')	text/html	etag:%22aab8-5af8b3f139203%22	http://innovationplans.com/idesign/avo2/avo-dark/index4.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/index4.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:15:58	38836/38836	---M--	200	added ('OK')	text/html	etag:%2297b4-5af8b3f1a488c%22	http://innovationplans.com/idesign/avo2/avo-dark/index5.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/index5.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
